model,person,n_seeds,recall_mean,recall_sd
Model_B,person082,3,0.8141025641025642,0.029375485224075903
Model_B,person083,3,0.8525641025641025,0.029375485224075928
Model_B,person084,3,0.9358974358974358,0.029375485224075872
Model_B,person085,3,0.7307692307692308,0.01923076923076919
Model_B,person086,3,0.7756410256410257,0.029375485224075897
Model_B,person087,3,0.8205128205128206,0.04441155916843273
Model_B,person088,3,0.891025641025641,0.06753624200546633
Model_B,person089,3,0.7884615384615384,0.033308669376324554
Model_B,person090,3,0.9102564102564102,0.07772022854475732
Model_B,person091,3,0.8717948717948718,0.07772022854475734
Model_B,person092,3,0.9423076923076924,0.033308669376324554
Model_B,person093,3,0.8910256410256411,0.04003203845127183
Model_B,person094,3,0.8205128205128206,0.04441155916843273
Model_B,person095,3,0.9551282051282052,0.01110288979210823
Model_B,person096,3,0.8397435897435898,0.01110288979210823
Model_B,person097,3,0.8012820512820512,0.022205779584216375
Model_B,person098,3,0.8974358974358975,0.01110288979210826
Model_B,person099,3,0.923076923076923,0.0508798329050883
Model_B,person100,3,0.8653846153846154,0.05087983290508837
Model_B,person101,3,0.8910256410256411,0.04003203845127183
Model_B,person102,3,0.8461538461538461,0.019230769230769273
Model_B,person103,3,0.858974358974359,0.05875097044815176
Model_B,person104,3,0.8525641025641025,0.02937548522407591
Model_B,person105,3,0.7884615384615384,0.019230769230769246
Model_B,person106,3,0.8974358974358975,0.04003203845127177
Model_B,person107,3,0.8525641025641025,0.01110288979210823
Model_B,person108,3,0.782051282051282,0.029375485224075928
Model_B,person109,3,0.9038461538461539,0.019230769230769273
Model_B,person110,3,0.8653846153846154,0.08812645567222768
Model_B,person111,3,0.9294871794871794,0.040032038451271776
Model_B,person112,3,0.7756410256410257,0.029375485224075903
Model_B,person113,3,0.891025641025641,0.011102889792108172
Model_B,person114,3,0.9038461538461539,0.0192307692307693
Model_B,person115,3,0.9038461538461539,0.05087983290508829
Model_B,person116,3,0.9551282051282052,0.04839637458506888
Model_B,person117,3,0.8141025641025642,0.11591757256426365
Model_B,person118,3,0.9102564102564102,0.022205779584216406
Model_B,person119,3,0.923076923076923,0.033308669376324554
Model_B,person120,3,0.8525641025641025,0.05551444896054093
Model_B,person121,3,0.7692307692307692,0.050879832905088254
Model_B,person122,3,0.8974358974358975,0.04003203845127177
Model_B,person123,3,0.8782051282051282,0.011102889792108148
Model_B,person124,3,0.782051282051282,0.02937548522407593
Model_B,person125,3,0.8205128205128206,0.022205779584216368
Model_B,person126,3,0.8717948717948718,0.07280651725384966
Model_B,person127,3,0.858974358974359,0.01110288979210822
Model_B,person128,3,0.8782051282051282,0.029375485224075903
Model_B,person129,3,0.8653846153846154,0.019230769230769232
Model_B,person130,3,0.923076923076923,0.03846153846153848
Model_B,person131,3,0.8012820512820512,0.05875097044815182
Model_B,person132,3,0.8205128205128206,0.06181827410892916
Model_B,person133,3,0.923076923076923,0.03330866937632458
Model_B,person134,3,0.9102564102564102,0.01110288979210826
Model_B,person135,3,0.8205128205128206,0.07772022854475737
Model_B,person136,3,0.8397435897435898,0.01110288979210826
Model_B,person137,3,0.8974358974358975,0.04839637458506894
Model_B,person138,3,0.8012820512820512,0.04003203845127177
Model_B,person139,3,0.8205128205128206,0.011102889792108148
Model_B,person140,3,0.8653846153846154,0.06933752452815369
Model_B,person141,3,0.8974358974358975,0.02220577958421643
Model_B,person142,3,0.9102564102564102,0.022205779584216406
Model_B,person143,3,0.8974358974358975,0.04441155916843281
Model_B,person144,3,0.8782051282051282,0.029375485224075903
Model_B,person145,3,0.8653846153846154,0.08812645567222768
Model_B,person146,3,0.75,0.11538461538461542
Model_B,person147,3,0.8717948717948718,0.029375485224075907
Model_B,person148,3,0.717948717948718,0.05551444896054097
Model_B,person149,3,0.75,0.08382497968347445
Model_B,person150,3,0.858974358974359,0.05875097044815176
Model_B,person151,3,0.7948717948717948,0.029375485224075872
Model_B,person152,3,0.7564102564102564,0.10591481821704042
Model_B,person153,3,0.9102564102564102,0.04003203845127175
