seed,model,person,n_images,recall
123,Model_B,person056,52,0.8461538461538461
123,Model_B,person057,52,0.8653846153846154
123,Model_B,person058,52,0.9423076923076923
123,Model_B,person059,52,0.9615384615384616
123,Model_B,person060,52,0.9038461538461539
123,Model_B,person061,52,0.8653846153846154
123,Model_B,person062,52,0.8461538461538461
123,Model_B,person063,52,0.8076923076923077
123,Model_B,person064,52,0.9423076923076923
123,Model_B,person065,52,0.8653846153846154
123,Model_B,person066,52,0.7884615384615384
123,Model_B,person067,52,0.75
123,Model_B,person068,52,0.9615384615384616
123,Model_B,person069,52,0.7884615384615384
123,Model_B,person070,52,0.8846153846153846
123,Model_B,person071,52,0.9423076923076923
123,Model_B,person072,52,0.9038461538461539
123,Model_B,person073,52,0.7307692307692307
123,Model_B,person074,52,0.8653846153846154
123,Model_B,person075,52,0.9423076923076923
123,Model_B,person076,52,0.9038461538461539
123,Model_B,person077,52,0.8846153846153846
123,Model_B,person078,52,0.9807692307692307
123,Model_B,person079,52,0.8461538461538461
123,Model_B,person080,52,0.9230769230769231
123,Model_B,person081,52,0.9423076923076923
123,Model_B,person082,52,0.7884615384615384
123,Model_B,person083,52,0.8461538461538461
123,Model_B,person084,52,0.9423076923076923
123,Model_B,person085,52,0.75
123,Model_B,person086,52,0.8076923076923077
123,Model_B,person087,52,0.8461538461538461
123,Model_B,person088,52,0.8846153846153846
123,Model_B,person089,52,0.7692307692307693
123,Model_B,person090,52,0.8269230769230769
123,Model_B,person091,52,0.9423076923076923
123,Model_B,person092,52,0.9615384615384616
123,Model_B,person093,52,0.9230769230769231
123,Model_B,person094,52,0.8461538461538461
123,Model_B,person095,52,0.9615384615384616
123,Model_B,person096,52,0.8461538461538461
123,Model_B,person097,52,0.7884615384615384
123,Model_B,person098,52,0.9038461538461539
123,Model_B,person099,52,0.9038461538461539
123,Model_B,person100,52,0.8269230769230769
123,Model_B,person101,52,0.9230769230769231
123,Model_B,person102,52,0.8269230769230769
123,Model_B,person103,52,0.8461538461538461
123,Model_B,person104,52,0.8269230769230769
123,Model_B,person105,52,0.7692307692307693
123,Model_B,person106,52,0.9423076923076923
123,Model_B,person107,52,0.8461538461538461
123,Model_B,person108,52,0.7884615384615384
123,Model_B,person109,52,0.9230769230769231
123,Model_B,person110,52,0.8846153846153846
123,Model_B,person111,52,0.9615384615384616
123,Model_B,person112,52,0.8076923076923077
123,Model_B,person113,52,0.8846153846153846
123,Model_B,person114,52,0.9038461538461539
123,Model_B,person115,52,0.9230769230769231
123,Model_B,person116,52,0.9038461538461539
123,Model_B,person117,52,0.6923076923076923
123,Model_B,person118,52,0.9230769230769231
123,Model_B,person119,52,0.9423076923076923
123,Model_B,person120,52,0.8846153846153846
123,Model_B,person121,52,0.7115384615384616
123,Model_B,person122,52,0.9423076923076923
123,Model_B,person123,52,0.8846153846153846
123,Model_B,person124,52,0.7884615384615384
123,Model_B,person125,52,0.8461538461538461
123,Model_B,person126,52,0.9230769230769231
123,Model_B,person127,52,0.8461538461538461
123,Model_B,person128,52,0.9038461538461539
123,Model_B,person129,52,0.8653846153846154
123,Model_B,person130,52,0.8846153846153846
123,Model_B,person131,52,0.8653846153846154
123,Model_B,person132,52,0.8461538461538461
123,Model_B,person133,52,0.9423076923076923
123,Model_B,person134,52,0.9038461538461539
123,Model_B,person135,52,0.7307692307692307
123,Model_B,person136,52,0.8461538461538461
